id,description
1,"Will using Team Space take a lot of time? - No, Team Space is not a cumbersome platform.It will take less than five minutes to complete Check-Ins in the platform, and an additional 10 - 15 minutes to have the Check-In conversation. Team leaders will spend just two-three minutes reviewing each of their team member&apos;s priorities to prepare for their conversations.Team Leaders should launch an Engagement Pulse when they create a team, and subsequently, quarterly. This will take each team member less than five minutes to fill out. Team leaders will also fill out a Performance Snapshot for their team members monthly. These take about two minutes per team member."
2,"Is Team Space voluntary? - We expect that team leaders and team members across Cisco will find this technology useful in their work, and will want to be active users of it. All static (hierarchy) teams will be added to the system automatically. We expect that every employee will take the assessment and enter the system. And, beyond that, our intent is that participation is voluntary - we will be aiming to show the benefits of Team Space to employees and team leaders, so that they understand what it offers them, and encouraging, but not mandating, their participation."
3,"What is a StandOut Assessment? - An assessment of innate patterns of thought, feeling and behavior measuring nine combinations called Strength Roles. The assessment uses a situational judgment test to measure what actions the person would take during each situation or scenario. The assessment highlights the top two Strength Roles, which can then be used to identify concrete actions specifically tailored to help accelerate performance."
4,"Why StandOut Assessment? - The primary application of the StandOut assessment is to evaluate an individual&apos;s strengths Roles (combinations of dominant patterns of thought, feeling and behavior that can be productively applied) and then provide targeted development strategies for using those strength Roles at work."
5,"Can I retake the StandOut Assessment? - You won&apos;t be able to retake the StandOut assessment once you&apos;ve completed it. There are several reasons why the assessment is only given once:- you are forced to react instinctively, using a timer;- it is designed to capture how you act rather than how you would calculate a response;- it describes how you show up to others rather than your self-perception.If you find you disagree with the results of the StandOut assessment, first ask people who know you if they agree with your Strength Roles. They can help confirm if your self-perception matches how you are perceived by others. Also, take some time to talk with others with the same Strength Roles; everyone is unique and you will find the Strength Roles showing up differently for each of you."
6,"What is the alignment, if any, between the StandOut Assessment Strength Roles and the Strengths finder Talent themes? - SF identified the 34 most common innate traits and tendencies that people could express and pointed out each person&apos;s Top 5 talent themes.StandOut sharpens the focus, using statistical analysis to align the original 34 talent themes into the 9 most common &quot;Strength Roles&quot; - those ways in which a person&apos;s recurring patterns and traits tend to express themselves in action.StandOut pays special attention to a person&apos;s Top 2 Roles as the most important factor in determining his or her comparative advantage."
7,"Why are there only 9 themes in StandOut? - StandOut analyzed the many hundreds of themes that are possible to measure and identified the most common and powerful theme combinations. They found that certain themes cluster into frequently occurring patterns which were ultimately identified as the nine talent roles. These findings were then validated through testing with just under 1 quarter of a million people before being introduced in StandOut."
8,"What is the benefit of using SO rather than SF for team leaders? - StandOut provides an integrated system for organizations that connects individual strengths with organizational goals, positions people to find their edge and heightens an organization&apos;s effort to succeed through their people.StandOut integrated system provides ongoing tips and team leader functionality that links team member assessment results to create a picture of an entire team&apos;s strengths."
9,"Why does the StandOut Assessment appears to be personal? - The primary application of StandOut Assessment is to evaluate an individual&apos;s strength Roles which consists of a combination of dominant patterns of thought, feelings and behavior. Intentionally, the questions are designed from impact moments in life where a person&apos;s preexisting skills or technical knowledge would have minimal relevance to response options. While the situations on the Standout Assessment often refer to a spouse or partner, the purpose is to understand how an individual would react with a person that they care about. As an example, one question on the Standout Assessment asks &quot;which of the following strengths you would give to your spouse or partner&quot; and a list is provided. The ultimate purpose of this question is to ascertain what an individual believes is one of their strengths."
10,"How is the StandOut Assessment results being used and/or shared? - <span>No one will be able to see your responses to the questions in the Assessment, only the resultant top two strength Roles will be visible. There are also no right or wrong strength Roles and the intent is to help you and others understand how you will show up and be at your best in your team. More information on who sees what data in Team Space can be found here: </span><a class="jive-link-wiki-small" data-containerid="35217" data-containertype="700" data-objectid="1408024" data-objecttype="102" href="https://cisco.jiveon.com/docs/DOC-1408024">https://cisco.jiveon.com/docs/DOC-1408024</a>"
11,"What is my Snapshot? - A place to share our accomplishments, passions, aspirations and strengths. Team leaders and members can go to your Snapshot to learn how to best collaborate with you, understand your strengths through your greatest value statements &quot;come to me when&quot; and &quot;how to work best with me.&quot;"
12,"How do I use My Snapshot to communicate my strengths and passions with my team? - Use My Snapshot to share your strengths and expertise with your teammates and team leaders. You can also post photos, comments, or links to current projects, accomplishments and career goals."
13,"What is a Check-in? - A ritual to capture key priorities and information about your work, set a focus for conversations, and save time for team members and team leaders. It is not a replacement for conversation; follow-up is important, based on check-in priorities and what is most impactful for the team member. Each check-in consists of several key items:- Priorities: the most important work items for the coming week- Pulse: your opportunities to use your strengths and deliver value- Needs: what you need from your team leaders in the coming week- Loves and loathes: the tasks that energized you, and those that didn&apos;tThese items are intended to gather a clear and accurate view on how we are experiencing our job on a real-time basis."
14,"Are Check-Ins required? - <span>While Check-Ins are not &quot;mandatory,&quot; they are the essence of Team Space. By completing your Check-In in the platform, the information is captured to drive the conversations about the work between team leaders and team members. Check-Ins conversation can be done in numerous of ways. For example, live conversations, jabber message, emails, etc. You will get a couple of reminders from Team Space to check in each week. If you miss one, you won&apos;t be able to go back and edit any information for that week (e.g. priorities or needs). For more information, check out the <a class="jive-link-blog-small" data-containerid="39198" data-containertype="37" data-objectid="49050" data-objecttype="38" href="https://cisco.jiveon.com/groups/team-space/blog/2016/03/14/check-ins-quite-literally-or-maybe-not">blog</a>.</span>"
